"Order","Price","LotFrontage","LotArea","LotConfig","HouseStyle","Quality","Condition","YearBuilt","YearRemodel","ExteriorQ","ExteriorC","Foundation","BasementHt","BasementC","BasementFin","BasementFinSF","BasementUnFinSF","BasementSF","Heating","HeatingQC","CentralAir","FirstSF","SecondSF","GroundSF","BasementFBath","BasementHBath","FullBath","HalfBath","Bedroom","KitchenQ","TotalRooms","Fireplaces","GarageType","GarageCars","GarageSF","GarageQ","GarageC","WoodDeckSF","OpenPorchSF","EnclosedPorchSF","ScreenPorchSF"
563,123,65,7150,"Inside","1Story",5,6,1962,1962,"TA","TA","CBlock","TA","TA","LwQ",140,182,912,"GasA","Gd","Y",912,0,912,0,1,1,0,3,"TA",6,0,"Attchd",1,252,"TA","TA",0,0,0,0
2153,275,0,12728,"Inside","2Story",8,5,2001,2001,"Gd","TA","PConc","Gd","TA","GLQ",1198,333,1531,"GasA","Ex","Y",1531,908,2439,1,0,2,1,4,"Gd",7,1,"Attchd",2,560,"TA","TA",184,121,0,0
2418,258,96,11631,"Corner","2Story",8,5,2004,2005,"Gd","TA","PConc","Gd","TA","Unf",0,1052,1052,"GasA","Ex","Y",1052,1321,2373,0,0,2,1,4,"Gd",9,1,"BuiltIn",3,632,"TA","TA",120,46,0,0
1767,252,83,10790,"Inside","2Story",7,5,1998,1998,"Gd","TA","PConc","Gd","TA","Unf",0,1066,1066,"GasA","Ex","Y",1108,1277,2385,0,0,2,1,4,"Gd",8,1,"BuiltIn",3,600,"TA","TA",120,38,0,0
807,131,120,26400,"FR2","2Story",5,7,1880,2007,"Gd","TA","PConc","None","None","None",0,0,0,"GasA","Ex","Y",1288,728,2016,0,0,1,0,4,"TA",7,1,"Attchd",2,576,"TA","TA",0,0,0,0
2699,137.5,82,12375,"Inside","1.5Fin",5,5,1951,1951,"TA","Fa","CBlock","TA","TA","BLQ",329,477,806,"GasA","TA","Y",1081,341,1422,1,0,1,0,3,"TA",7,1,"Detchd",1,288,"TA","TA",0,0,0,0
1101,250,84,14260,"FR2","2Story",8,5,2000,2000,"Gd","TA","PConc","Gd","TA","GLQ",655,490,1145,"GasA","Ex","Y",1145,1053,2198,1,0,2,1,4,"Gd",9,1,"Attchd",3,836,"TA","TA",192,84,0,0
2588,133.5,65,11050,"Inside","1Story",5,5,1956,1956,"TA","TA","CBlock","TA","TA","LwQ",488,517,1005,"GasA","Ex","Y",1005,0,1005,0,0,1,0,2,"TA",6,1,"Attchd",1,319,"TA","TA",0,0,0,288
293,169,50,9638,"Inside","1.5Fin",6,7,1919,1990,"TA","TA","PConc","TA","TA","Unf",0,804,804,"GasA","Ex","Y",1699,748,2447,0,0,2,0,4,"Gd",10,1,"Detchd",1,336,"TA","TA",272,0,42,116
624,187.5,92,10573,"Corner","1Story",6,6,1961,1961,"TA","TA","CBlock","TA","TA","Rec",1312,141,1453,"GasA","Ex","Y",1453,0,1453,1,0,2,0,3,"TA",6,1,"Attchd",2,530,"TA","TA",0,49,0,288
2186,111,75,10215,"Inside","1Story",4,5,1954,1954,"TA","TA","PConc","TA","TA","ALQ",492,372,864,"GasA","Ex","Y",948,0,948,0,0,1,0,3,"TA",5,0,"Attchd",1,248,"TA","TA",0,0,0,0
2397,281,86,11065,"Inside","2Story",8,5,2006,2006,"Gd","TA","PConc","Gd","TA","Unf",0,1085,1085,"GasA","Ex","Y",1120,850,1970,0,0,2,1,3,"Ex",8,1,"BuiltIn",3,753,"TA","TA",177,74,0,0
2265,174,42,10331,"CulDSac","1Story",7,7,1985,1985,"TA","TA","CBlock","Gd","TA","ALQ",215,970,1265,"GasA","Gd","Y",1240,0,1240,0,1,2,0,3,"Gd",6,0,"Attchd",2,528,"TA","TA",232,0,0,0
1784,235.876,85,9965,"FR2","1Story",7,5,2007,2007,"Gd","TA","PConc","Gd","TA","Unf",0,1528,1528,"GasA","Ex","Y",1528,0,1528,0,0,3,2,3,"Gd",6,1,"Attchd",2,480,"TA","TA",0,228,0,0
1207,135.75,0,8475,"Inside","1Story",4,7,1956,1956,"TA","TA","CBlock","TA","TA","ALQ",228,724,952,"GasA","Ex","Y",952,0,952,0,0,1,0,2,"TA",4,0,"Detchd",1,283,"TA","TA",0,0,0,0
175,107.4,60,5790,"Corner","2Story",3,6,1915,1950,"Gd","Gd","CBlock","Fa","TA","Unf",0,840,840,"GasA","Gd","N",840,765,1605,0,0,2,0,3,"TA",8,0,"Detchd",1,379,"TA","TA",0,0,202,0
1240,163,76,9120,"Inside","1Story",6,6,1958,1958,"TA","TA","CBlock","TA","TA","ALQ",662,599,1261,"GasA","Ex","Y",1261,0,1261,1,0,1,0,3,"TA",6,1,"Attchd",2,433,"TA","TA",0,0,0,288
1537,257.076,100,9670,"Inside","2Story",8,6,1935,1950,"TA","TA","PConc","TA","Fa","LwQ",210,398,608,"GasA","TA","Y",983,890,1873,0,0,1,1,4,"TA",9,2,"Detchd",2,786,"Fa","TA",0,0,207,0
877,213,75,9750,"Inside","1Story",7,5,2000,2001,"Gd","TA","PConc","Gd","TA","Unf",0,1630,1630,"GasA","Ex","Y",1630,0,1630,0,0,2,0,3,"Gd",6,1,"Attchd",2,451,"TA","TA",74,234,0,0
2358,181,78,10140,"Inside","1Story",6,6,1974,1999,"TA","TA","CBlock","TA","TA","ALQ",663,0,1040,"GasA","Fa","Y",1309,0,1309,1,0,1,1,3,"Gd",5,1,"Attchd",2,484,"TA","TA",265,0,0,0
2824,117.25,75,8050,"Inside","1Story",6,5,2002,2002,"TA","TA","PConc","Gd","TA","GLQ",475,142,914,"GasA","Ex","Y",914,0,914,1,0,1,0,2,"Gd",4,0,"None",0,0,"None","None",32,0,0,0
805,239.9,85,10560,"Corner","2Story",7,5,1993,1994,"Gd","Gd","PConc","Gd","Gd","GLQ",474,605,1079,"GasA","Ex","Y",1079,800,1879,1,0,2,1,3,"Gd",8,1,"Attchd",2,473,"TA","TA",400,100,144,0
728,44,72,9392,"Corner","1Story",3,3,1900,1950,"TA","Fa","CBlock","Fa","TA","Unf",0,245,245,"GasA","TA","N",797,0,797,0,0,1,0,2,"TA",5,0,"None",0,0,"None","None",0,36,94,0
2524,146.5,79,13110,"Corner","1Story",5,6,1972,1972,"TA","TA","CBlock","Gd","TA","GLQ",962,191,1153,"GasA","Ex","Y",1193,0,1193,1,0,2,0,2,"TA",6,0,"Attchd",2,501,"TA","TA",140,153,0,0
1078,155,36,2448,"Inside","2Story",7,5,2003,2004,"Gd","TA","PConc","Gd","TA","Unf",0,764,764,"GasA","Ex","Y",764,862,1626,0,0,2,1,2,"Gd",6,0,"BuiltIn",2,474,"TA","TA",0,27,0,0
1370,82.375,60,10320,"Inside","2Story",3,3,1915,1950,"Fa","Fa","PConc","TA","Fa","Unf",0,536,536,"GasA","Ex","N",808,536,1344,0,0,2,0,3,"TA",8,0,"None",0,0,"None","None",42,0,204,0
330,76,21,1476,"Inside","2Story",4,7,1970,1970,"TA","TA","CBlock","TA","TA","GLQ",176,370,546,"GasA","Ex","Y",546,546,1092,0,0,1,1,3,"TA",5,0,"None",0,0,"None","None",200,26,0,0
1460,287,0,9240,"Inside","2Story",8,5,2001,2002,"Gd","TA","PConc","Gd","TA","Unf",0,1055,1055,"GasA","Ex","Y",1055,1208,2263,0,0,2,1,3,"Gd",7,1,"BuiltIn",2,905,"TA","TA",0,45,0,189
1347,123.5,51,6120,"Inside","2Story",5,5,1923,1950,"TA","TA","BrkTil","TA","TA","LwQ",203,897,1100,"GasA","TA","Y",1226,676,1902,0,0,2,0,4,"TA",7,0,"Detchd",2,576,"TA","TA",0,139,55,0
13,180.4,63,8402,"Inside","2Story",6,5,1998,1998,"TA","TA","PConc","Gd","TA","Unf",0,789,789,"GasA","Gd","Y",789,676,1465,0,0,2,1,3,"TA",7,1,"Attchd",2,393,"TA","TA",0,75,0,0
2545,185.9,80,8800,"Inside","1Story",6,7,1965,2000,"TA","Gd","PConc","TA","TA","ALQ",901,34,1187,"GasA","Ex","Y",1565,0,1565,1,0,2,0,3,"Gd",7,2,"Attchd",1,299,"TA","TA",200,25,211,0
406,97,21,1680,"Inside","2Story",6,6,1972,1972,"TA","TA","CBlock","TA","TA","Rec",110,79,483,"GasA","TA","Y",483,504,987,1,0,1,1,2,"TA",5,0,"Detchd",1,288,"TA","TA",0,0,0,0
1088,190,59,9587,"Inside","SLvl",7,5,2005,2005,"Gd","TA","PConc","Gd","TA","GLQ",655,201,856,"GasA","Ex","Y",1166,0,1166,1,0,2,0,2,"Gd",5,0,"Attchd",2,400,"TA","TA",212,0,0,0
2059,115,86,8665,"Inside","1Story",5,5,1968,1968,"TA","TA","CBlock","TA","TA","Rec",168,420,876,"GasA","TA","Y",897,0,897,0,0,1,0,3,"TA",5,0,"Attchd",1,264,"TA","TA",0,0,0,0
2348,241.5,80,10400,"Inside","1Story",7,5,1988,1988,"TA","TA","CBlock","Gd","TA","GLQ",929,916,1845,"GasA","Gd","Y",1872,0,1872,0,1,2,0,3,"TA",6,1,"Attchd",2,604,"TA","TA",197,39,0,0
346,270,0,11792,"Inside","2Story",8,5,2003,2003,"Gd","TA","PConc","Gd","TA","GLQ",850,158,1008,"GasA","Ex","Y",1008,1275,2283,0,0,2,1,4,"Gd",9,1,"BuiltIn",3,632,"TA","TA",120,46,0,0
1772,290,65,12257,"Inside","2Story",8,5,1995,1995,"Gd","TA","PConc","Gd","TA","LwQ",56,1198,1318,"GasA","Ex","Y",1328,1203,2531,0,0,2,1,4,"Gd",9,1,"Attchd",3,752,"TA","TA",222,98,0,0
2732,190,0,5271,"Inside","1Story",7,5,1986,1986,"TA","TA","PConc","Gd","TA","GLQ",1082,371,1453,"GasA","Gd","Y",1453,0,1453,1,0,1,1,2,"Gd",6,1,"Attchd",2,445,"TA","TA",0,80,0,184
824,212,68,10769,"Inside","2Story",8,5,2007,2007,"Gd","TA","PConc","Gd","TA","GLQ",20,846,866,"GasA","Ex","Y",866,902,1768,0,0,2,1,3,"Gd",7,0,"Attchd",2,578,"TA","TA",144,105,0,0
577,241.6,110,15417,"Inside","1Story",7,5,1981,1981,"Gd","TA","CBlock","Gd","TA","LwQ",121,1619,1740,"GasA","TA","Y",1740,0,1740,0,0,1,1,2,"Gd",7,0,"Attchd",2,540,"TA","TA",228,20,218,0
1985,85,50,5925,"Inside","1.5Fin",4,6,1900,1950,"TA","TA","BrkTil","Fa","TA","LwQ",122,0,570,"GasA","Gd","N",761,380,1141,0,0,1,0,3,"TA",6,0,"Detchd",1,252,"Fa","Fa",0,0,96,0
2115,207,0,8883,"Inside","2Story",7,5,1988,1988,"Gd","TA","PConc","Gd","TA","GLQ",608,0,929,"GasA","Ex","Y",946,927,1873,1,0,2,1,3,"Gd",7,1,"Attchd",2,619,"TA","TA",108,48,0,144
233,260,0,23595,"Inside","1Story",7,6,1979,1979,"Gd","TA","PConc","Gd","TA","GLQ",1258,74,1332,"GasA","TA","Y",1332,192,1524,2,0,0,1,0,"Gd",4,1,"Attchd",2,586,"TA","TA",268,0,0,0
2330,457.347,59,16023,"CulDSac","2Story",9,5,2005,2006,"Gd","Ex","PConc","Ex","TA","GLQ",1218,180,1398,"GasA","Ex","Y",1414,1384,2798,1,0,3,1,3,"Ex",11,1,"BuiltIn",3,670,"TA","TA",182,37,0,0
1405,125.6,50,5190,"Inside","1.5Fin",7,5,1948,1950,"TA","TA","CBlock","TA","TA","Unf",0,570,570,"GasA","TA","Y",617,462,1079,0,0,1,0,2,"TA",5,1,"Attchd",1,249,"TA","TA",135,0,0,0
2851,138.887,96,13132,"Inside","2Story",5,5,1914,1950,"TA","TA","BrkTil","Gd","TA","Unf",0,747,747,"GasA","Gd","Y",892,892,1784,0,0,1,1,4,"TA",9,0,"Detchd",1,180,"Fa","Fa",203,40,0,0
1666,155,63,9457,"Inside","1Story",5,6,1970,1990,"TA","TA","CBlock","TA","TA","ALQ",566,359,925,"GasA","TA","Y",1422,0,1422,1,0,1,0,3,"TA",7,0,"Detchd",2,576,"TA","TA",252,0,0,0
2390,275.5,80,10240,"Inside","2Story",8,5,2005,2005,"Gd","TA","PConc","Gd","TA","Unf",0,1030,1030,"GasA","Gd","Y",1038,1060,2098,0,0,2,1,3,"Ex",8,1,"Attchd",3,878,"TA","TA",192,52,0,0
1231,139.95,75,7875,"Inside","1Story",5,6,1961,1961,"TA","TA","CBlock","TA","TA","Rec",572,572,1144,"GasA","Gd","Y",1144,0,1144,1,0,1,0,3,"TA",6,0,"Attchd",2,456,"TA","TA",0,0,0,0
732,137,50,4960,"Inside","1.5Fin",5,7,1930,1982,"TA","TA","CBlock","TA","TA","Unf",0,297,297,"GasA","Ex","Y",1001,653,1654,0,0,2,0,3,"TA",7,1,"Detchd",1,336,"TA","TA",244,60,0,0
1225,119,80,9600,"Inside","1.5Fin",6,5,1950,1950,"TA","TA","CBlock","TA","TA","BLQ",280,752,1032,"GasA","TA","Y",1032,220,1252,0,0,1,0,3,"TA",6,0,"Attchd",1,288,"TA","TA",0,0,96,0
1068,421.25,130,16900,"Inside","2Story",8,5,2001,2002,"Gd","TA","PConc","Ex","TA","GLQ",1075,404,1479,"GasA","Ex","Y",1515,1134,2649,1,0,2,1,4,"Gd",10,1,"Attchd",3,746,"TA","TA",0,60,0,0
1659,175,90,11700,"Inside","2Story",6,6,1968,1968,"Gd","TA","CBlock","TA","TA","ALQ",384,143,702,"GasA","Gd","Y",1041,702,1743,0,1,1,2,3,"TA",7,1,"Attchd",2,539,"TA","TA",224,0,0,0
1497,176,60,7024,"Inside","1Story",4,5,2005,2005,"TA","TA","PConc","Gd","TA","GLQ",1024,108,1132,"GasA","Ex","Y",1132,0,1132,1,0,1,1,2,"Gd",5,0,"Attchd",2,451,"TA","TA",252,64,0,0
1120,247,87,10037,"Corner","1Story",8,5,2006,2007,"Gd","TA","PConc","Ex","TA","GLQ",666,794,1460,"GasA","Ex","Y",1460,0,1460,0,0,2,0,3,"Gd",6,1,"Attchd",2,480,"TA","TA",0,20,0,0
2751,229.8,133,11003,"Inside","2Story",7,5,2005,2006,"Gd","TA","PConc","Gd","TA","Unf",0,1308,1308,"GasA","Ex","Y",1308,568,1876,0,0,2,1,3,"Gd",7,0,"BuiltIn",3,848,"TA","TA",0,40,0,0
2765,190,0,36500,"Inside","1Story",5,5,1964,1964,"TA","Gd","CBlock","TA","TA","Rec",812,812,1624,"GasA","Fa","Y",1582,0,1582,0,1,2,0,4,"TA",7,0,"Attchd",2,390,"TA","TA",168,198,0,0
1822,132.5,0,7758,"Corner","1Story",5,7,1962,2001,"TA","Gd","CBlock","TA","TA","ALQ",588,411,999,"GasA","Gd","Y",999,0,999,1,0,1,0,3,"Gd",6,0,"Detchd",1,264,"TA","TA",0,132,0,0
1239,185,82,9840,"Inside","1Story",5,7,1959,1998,"TA","TA","CBlock","TA","TA","ALQ",1053,195,1248,"GasA","TA","Y",1440,0,1440,1,0,2,0,2,"Gd",7,0,"Attchd",1,480,"TA","TA",150,0,0,256
2412,170.44,65,10237,"Inside","2Story",6,5,2005,2006,"Gd","TA","PConc","Gd","TA","Unf",0,728,728,"GasA","Ex","Y",728,728,1456,0,0,2,1,3,"Gd",8,1,"Attchd",2,390,"TA","TA",0,24,0,0
2091,179.9,114,10357,"Corner","1Story",7,5,1990,1991,"Gd","TA","PConc","Gd","TA","GLQ",738,172,910,"GasA","Gd","Y",1442,0,1442,1,0,2,0,3,"Gd",6,1,"Attchd",2,719,"TA","TA",0,244,0,0
212,100,60,9900,"Inside","1.5Fin",5,4,1915,1950,"Fa","Fa","BrkTil","TA","TA","Rec",1026,186,1212,"GasA","TA","N",1212,180,1392,1,0,1,0,3,"TA",6,0,"None",0,0,"None","None",0,0,168,0
1411,159.9,68,9571,"Inside","1Story",5,6,1956,1956,"TA","TA","CBlock","TA","TA","Rec",870,639,1509,"GasA","TA","Y",1509,0,1509,1,0,1,0,3,"Gd",6,1,"Attchd",1,322,"TA","TA",158,0,0,576
2746,91.5,50,7585,"Inside","1.5Fin",5,3,1948,1950,"TA","TA","CBlock","Fa","Fa","Unf",0,810,810,"GasA","Fa","Y",1002,454,1456,1,1,1,0,4,"TA",7,1,"Detchd",1,280,"TA","TA",0,0,0,0
1875,127,70,8050,"Inside","1Story",5,6,1967,1993,"TA","TA","CBlock","TA","TA","ALQ",474,437,949,"GasA","TA","Y",1107,0,1107,1,0,1,0,3,"Gd",5,0,"Attchd",1,308,"TA","TA",88,64,0,0
2296,157,68,8286,"Corner","2Story",5,7,1977,1977,"TA","TA","PConc","Gd","TA","Rec",531,185,716,"GasA","Ex","Y",716,716,1432,1,0,1,1,3,"TA",6,1,"Attchd",2,531,"TA","TA",0,136,0,240
2569,226,88,14200,"Corner","2Story",7,6,1966,1966,"TA","TA","CBlock","TA","TA","Rec",445,479,924,"GasA","Ex","Y",1216,941,2157,0,0,2,1,4,"Gd",8,2,"Attchd",2,487,"TA","TA",105,66,0,0
153,109,68,7922,"Inside","1Story",5,7,1953,2007,"TA","Gd","CBlock","TA","TA","GLQ",731,326,1057,"GasA","TA","Y",1057,0,1057,1,0,1,0,3,"Gd",5,0,"Detchd",1,246,"TA","TA",0,52,0,0
98,149.5,24,2544,"Inside","2Story",7,5,2004,2005,"Gd","TA","PConc","Gd","TA","GLQ",368,190,600,"GasA","Ex","Y",600,600,1200,1,0,2,1,2,"Gd",4,0,"Detchd",2,480,"TA","TA",0,172,0,0
1486,85,67,8777,"Inside","1Story",5,7,1910,1950,"TA","TA","CBlock","Fa","TA","Unf",0,796,796,"GasA","Gd","Y",796,0,796,0,0,1,0,2,"TA",4,0,"None",0,0,"None","None",328,0,164,0
691,109.5,60,6600,"Inside","1Story",5,5,1962,1962,"TA","TA","CBlock","TA","TA","Unf",0,894,894,"GasA","Gd","N",894,0,894,0,0,1,0,2,"TA",5,0,"Detchd",1,308,"TA","TA",0,0,0,0
2427,156.82,43,3010,"Inside","1Story",7,5,2005,2006,"Gd","TA","PConc","Gd","TA","GLQ",16,1126,1142,"GasA","Ex","Y",1142,0,1142,0,0,2,0,2,"Gd",6,0,"Attchd",2,440,"TA","TA",90,0,0,0
2889,135,78,10530,"Inside","SFoyer",6,5,1977,1977,"TA","TA","CBlock","Gd","TA","GLQ",975,0,975,"GasA","TA","Y",1004,0,1004,1,0,1,0,2,"TA",4,0,"Attchd",2,504,"TA","TA",0,0,0,0
2799,227,90,11250,"Corner","2Story",7,5,1998,1998,"TA","TA","PConc","Gd","TA","ALQ",796,258,1054,"GasA","Ex","Y",1070,869,1939,0,1,2,1,3,"Gd",8,1,"Attchd",3,555,"TA","TA",128,84,0,0
555,110,63,9750,"Inside","1Story",5,5,1962,1962,"TA","TA","CBlock","TA","TA","LwQ",68,28,980,"GasA","Gd","Y",980,0,980,1,0,1,0,3,"TA",5,0,"Detchd",2,400,"TA","TA",0,28,0,0
2688,129,60,9873,"Inside","1Story",4,5,1970,1970,"TA","TA","CBlock","TA","TA","ALQ",789,171,960,"GasW","TA","N",960,0,960,1,0,1,0,3,"TA",6,0,"Detchd",2,576,"TA","TA",0,288,0,0
880,293.2,85,10200,"Inside","1Story",8,5,2007,2007,"Gd","TA","PConc","Gd","TA","GLQ",1478,100,1578,"GasA","Ex","Y",1602,0,1602,1,0,2,0,3,"Gd",7,1,"Attchd",3,810,"TA","TA",0,48,0,195
2798,210.9,0,21533,"FR2","2Story",7,5,1996,1997,"Gd","TA","PConc","Gd","TA","Unf",0,1065,1065,"GasA","Ex","Y",1065,984,2049,0,0,2,1,4,"Gd",9,1,"Attchd",2,467,"TA","TA",120,48,0,0
723,85,60,7200,"Inside","1Story",5,4,1910,2006,"TA","TA","BrkTil","TA","TA","ALQ",247,310,1022,"GasW","TA","N",1022,0,1022,1,0,1,0,2,"TA",4,0,"Detchd",1,280,"TA","TA",0,30,226,0
2503,268,0,13346,"CulDSac","2Story",7,5,1992,2000,"Gd","TA","PConc","Gd","TA","GLQ",728,367,1095,"GasA","Ex","Y",1166,1129,2295,1,0,2,1,4,"Gd",9,1,"Attchd",2,590,"TA","TA",0,40,0,0
418,128.5,24,2104,"Inside","1Story",7,6,1976,1976,"TA","TA","CBlock","TA","TA","ALQ",536,300,836,"GasA","TA","Y",836,0,836,0,1,1,0,2,"TA",5,0,"Attchd",1,345,"TA","TA",150,20,0,0
924,163.5,80,13360,"Inside","1Story",5,7,1921,2006,"TA","Gd","BrkTil","Gd","TA","ALQ",713,163,876,"GasA","Ex","Y",964,0,964,1,0,1,0,2,"TA",5,0,"Detchd",2,432,"TA","TA",0,0,44,0
400,124.5,70,8120,"Inside","1Story",4,7,1970,1970,"TA","Gd","CBlock","TA","TA","ALQ",191,673,864,"GasA","Ex","Y",864,0,864,0,0,1,0,3,"TA",5,0,"Detchd",2,463,"TA","TA",0,0,0,0
957,375,150,215245,"Inside","1Story",7,5,1965,1965,"TA","TA","CBlock","Gd","TA","ALQ",1236,80,2136,"GasW","TA","Y",2036,0,2036,2,0,2,0,3,"TA",8,2,"Attchd",2,513,"TA","TA",0,0,0,0
1274,138,60,8064,"Inside","1.5Fin",6,6,1948,1950,"TA","TA","CBlock","TA","TA","ALQ",315,453,768,"GasA","Ex","Y",819,501,1320,0,0,2,0,3,"TA",5,0,"Detchd",2,576,"TA","TA",108,0,0,0
1593,173,150,14137,"Corner","SFoyer",4,5,1964,1964,"TA","TA","CBlock","Gd","TA","ALQ",865,88,1200,"GasA","Gd","Y",1200,0,1200,1,0,1,0,3,"TA",6,0,"2Types",3,850,"TA","TA",0,119,0,171
1156,192,95,19508,"Inside","1Story",6,5,1974,1974,"TA","TA","CBlock","TA","TA","ALQ",800,630,1430,"GasA","TA","Y",1430,0,1430,0,1,2,0,3,"TA",6,2,"Attchd",2,484,"TA","TA",117,108,165,0
369,260,124,16158,"Inside","1Story",7,5,2005,2005,"Gd","TA","PConc","Ex","TA","ALQ",1274,256,1530,"GasA","Ex","Y",1530,0,1530,1,0,2,0,3,"Gd",7,1,"Attchd",2,430,"TA","TA",168,36,0,0
2463,232.6,81,11216,"Inside","1Story",8,5,2006,2006,"Gd","TA","PConc","Gd","Gd","Unf",0,1489,1489,"GasA","Ex","Y",1489,0,1489,0,0,2,0,3,"Gd",7,1,"Attchd",2,776,"TA","TA",0,140,0,0
1845,168.5,0,2117,"Inside","2Story",6,5,2000,2000,"Gd","TA","PConc","Gd","TA","GLQ",420,336,756,"GasA","Ex","Y",756,756,1512,0,0,2,1,2,"Gd",4,1,"Detchd",2,440,"TA","TA",0,32,0,0
1730,178.9,65,10237,"Inside","2Story",6,5,2005,2007,"Gd","TA","PConc","Gd","TA","Unf",0,783,783,"GasA","Ex","Y",783,701,1484,0,0,2,1,3,"Gd",8,1,"Attchd",2,393,"TA","TA",0,72,0,0
