"Order","Price","LotFrontage","LotArea","LotConfig","HouseStyle","Quality","Condition","YearBuilt","YearRemodel","ExteriorQ","ExteriorC","Foundation","BasementHt","BasementC","BasementFin","BasementFinSF","BasementUnFinSF","BasementSF","Heating","HeatingQC","CentralAir","FirstSF","SecondSF","GroundSF","BasementFBath","BasementHBath","FullBath","HalfBath","Bedroom","KitchenQ","TotalRooms","Fireplaces","GarageType","GarageCars","GarageSF","GarageQ","GarageC","WoodDeckSF","OpenPorchSF","EnclosedPorchSF","ScreenPorchSF"
1393,235,0,13500,"Inside","1Story",6,7,1960,1975,"TA","TA","CBlock","Gd","TA","BLQ",429,93,1602,"GasA","Gd","Y",1252,0,1252,1,0,1,0,1,"TA",4,1,"Attchd",2,564,"TA","TA",409,0,0,0
941,123,50,8660,"Inside","2Story",5,6,1900,1993,"TA","TA","BrkTil","TA","TA","Unf",0,760,760,"GasA","Ex","N",928,928,2168,0,0,2,0,5,"Gd",11,0,"Detchd",2,576,"TA","TA",467,160,78,0
1222,118,50,7420,"Corner","1.5Unf",5,6,1939,1950,"TA","TA","BrkTil","TA","TA","GLQ",851,140,991,"GasA","Ex","Y",1077,0,1077,1,0,1,0,2,"TA",5,2,"Attchd",1,205,"Gd","TA",0,4,0,0
1466,183,72,7226,"CulDSac","2Story",7,5,2003,2003,"Gd","TA","PConc","Gd","TA","Unf",0,798,798,"GasA","Ex","Y",798,842,1640,0,0,2,1,3,"Gd",6,0,"Attchd",2,595,"TA","TA",0,45,0,0
1174,170,24,2160,"Inside","SLvl",7,5,1999,2000,"Gd","TA","PConc","Gd","TA","GLQ",600,72,672,"GasA","Ex","Y",684,720,1404,1,0,2,1,3,"Gd",5,0,"Detchd",2,462,"TA","TA",20,0,0,0
2357,162.9,78,10140,"Inside","2Story",7,5,1976,1976,"TA","TA","PConc","Gd","TA","GLQ",194,638,832,"GasA","TA","Y",832,832,1664,0,0,2,1,4,"TA",8,1,"Attchd",2,528,"TA","TA",0,28,0,259
2617,157.5,86,11650,"Corner","1Story",7,5,1959,1959,"TA","TA","Slab","None","None","None",0,0,0,"GasA","Gd","Y",1472,0,1472,0,0,2,0,2,"Gd",5,1,"Attchd",2,484,"TA","TA",0,68,0,227
959,224.5,83,13159,"Corner","2Story",7,5,2009,2009,"TA","TA","PConc","Ex","TA","Unf",0,846,846,"GasA","Gd","Y",846,846,1692,0,0,2,1,3,"Gd",6,0,"Attchd",2,650,"TA","TA",208,114,0,0
1039,181,34,4060,"Inside","1Story",6,5,1998,1999,"Gd","TA","PConc","Gd","TA","GLQ",266,1139,1405,"GasA","Ex","Y",1337,0,1337,1,0,2,0,2,"Gd",5,0,"Attchd",2,511,"TA","TA",144,68,0,0
938,315,0,17597,"Inside","1Story",7,9,1971,2009,"Gd","Gd","CBlock","Gd","TA","GLQ",803,581,1803,"GasA","TA","Y",2365,0,2365,1,0,2,0,3,"Ex",7,2,"Attchd",2,551,"TA","TA",200,144,0,0
1318,128,35,6300,"Inside","2.5Unf",6,6,1914,2001,"TA","TA","CBlock","TA","TA","Unf",0,742,742,"GasA","Ex","Y",742,742,1484,0,0,2,0,3,"TA",9,1,"None",0,0,"None","None",0,291,134,0
489,190,42,8433,"Inside","2Story",6,5,2000,2000,"TA","TA","PConc","Gd","TA","GLQ",683,111,794,"GasA","Ex","Y",819,695,1514,1,0,2,1,3,"TA",7,1,"Attchd",2,394,"TA","TA",0,72,0,0
51,175.5,36,2628,"Inside","2Story",7,5,2003,2003,"Gd","TA","PConc","Gd","TA","Unf",0,764,764,"GasA","Ex","Y",764,862,1626,0,0,2,1,2,"Gd",6,0,"BuiltIn",2,474,"TA","TA",0,27,0,0
1856,194,0,16157,"FR2","SLvl",5,7,1978,1978,"TA","TA","PConc","Gd","TA","ALQ",680,289,1360,"GasA","Ex","Y",1432,0,1432,1,0,1,1,2,"Gd",5,1,"Attchd",2,588,"TA","TA",168,180,0,0
2098,424.87,77,9965,"Inside","2Story",8,5,2006,2007,"Gd","TA","PConc","Ex","TA","GLQ",1150,316,1466,"GasA","Ex","Y",1466,1362,2828,1,0,3,0,4,"Gd",11,1,"BuiltIn",3,1052,"TA","TA",125,144,0,0
2681,149,52,6240,"Inside","1.5Fin",5,6,1928,1950,"TA","TA","BrkTil","TA","TA","Unf",0,1042,1042,"GasA","Ex","Y",1042,534,1576,0,0,1,0,3,"TA",8,1,"Detchd",1,225,"TA","TA",0,0,0,0
2270,282,80,11305,"Inside","1Story",8,5,2002,2002,"Gd","TA","PConc","Gd","TA","GLQ",1329,593,1922,"GasA","Ex","Y",1922,0,1922,1,0,2,0,2,"Gd",6,1,"Attchd",3,692,"TA","TA",201,64,0,0
643,131,53,8128,"CulDSac","1Story",6,7,1954,1954,"TA","TA","CBlock","TA","TA","ALQ",490,572,1062,"GasA","Gd","Y",1062,0,1062,1,0,1,0,3,"TA",6,0,"Attchd",1,297,"TA","TA",0,0,0,0
1668,119.5,61,9758,"Inside","1Story",5,5,1971,1971,"TA","TA","CBlock","TA","TA","BLQ",412,251,950,"GasA","TA","Y",950,0,950,0,0,1,0,3,"TA",5,0,"Detchd",1,280,"TA","TA",0,0,0,0
2101,279.5,91,10652,"Inside","1Story",7,5,2006,2007,"Gd","TA","PConc","Gd","TA","Unf",0,1494,1494,"GasA","Ex","Y",1494,0,1494,0,0,2,0,3,"Gd",7,1,"Attchd",3,840,"TA","TA",160,33,0,0
1688,322.4,91,11825,"Inside","1Story",8,5,2006,2007,"Gd","TA","PConc","Ex","TA","Unf",0,1694,1694,"GasA","Ex","Y",1694,0,1694,0,0,2,0,3,"Gd",7,1,"Attchd",3,856,"TA","TA",0,112,0,0
757,123,0,5775,"Corner","2Story",6,7,1915,2002,"TA","TA","BrkTil","TA","TA","Unf",0,483,483,"GasA","Ex","Y",741,686,1427,0,0,1,0,3,"Gd",7,0,"Attchd",1,379,"TA","TA",0,24,112,0
1632,170,0,3696,"Inside","1Story",8,5,1986,1986,"Gd","TA","CBlock","Gd","TA","Unf",0,1074,1074,"GasA","Ex","Y",1088,0,1088,0,0,1,1,2,"Gd",5,0,"Attchd",2,461,"TA","TA",0,74,137,0
636,155,66,12400,"Inside","1Story",6,7,1958,1998,"TA","TA","CBlock","TA","Fa","Rec",585,630,1215,"GasA","TA","Y",1215,0,1215,0,0,1,0,3,"TA",6,0,"Attchd",1,297,"TA","TA",0,0,0,234
2742,136.9,75,9525,"Inside","1.5Fin",6,4,1954,1972,"TA","TA","CBlock","TA","Fa","Rec",444,550,994,"GasA","Gd","Y",1216,639,1855,0,0,2,0,4,"TA",7,0,"Attchd",1,325,"TA","TA",182,0,0,0
2763,181,78,9316,"Inside","2Story",7,5,2005,2005,"Gd","TA","PConc","Gd","TA","Unf",0,784,784,"GasA","Ex","Y",784,812,1596,0,0,2,1,3,"Gd",6,0,"Attchd",2,610,"TA","TA",144,45,0,0
1944,135,60,9600,"Inside","1.5Unf",5,7,1949,2003,"TA","TA","CBlock","TA","TA","ALQ",220,625,845,"GasA","TA","Y",893,0,893,0,1,1,0,2,"Gd",4,0,"Detchd",2,576,"TA","TA",0,0,0,0
2839,115,60,8172,"Inside","1Story",5,7,1955,1990,"TA","TA","CBlock","TA","TA","Rec",167,697,864,"GasA","TA","Y",864,0,864,1,0,1,0,2,"TA",5,0,"Detchd",2,572,"TA","TA",0,0,0,0
2761,209.7,91,10984,"Corner","2Story",7,5,2005,2006,"Gd","TA","PConc","Gd","TA","Unf",0,945,945,"GasA","Ex","Y",945,864,1809,0,0,2,1,3,"Gd",8,0,"Attchd",2,638,"TA","TA",144,54,0,0
1814,215,0,16196,"Inside","1Story",7,5,1998,1998,"Gd","TA","PConc","Gd","TA","GLQ",1443,39,1482,"GasA","Ex","Y",1494,0,1494,1,0,2,0,3,"Gd",5,1,"Attchd",2,514,"TA","TA",402,25,0,0
1623,180,0,8637,"Inside","2Story",6,5,1999,2000,"TA","TA","PConc","Gd","TA","ALQ",871,52,923,"GasA","Gd","Y",947,767,1714,1,0,2,1,3,"TA",7,1,"Attchd",2,451,"TA","TA",256,48,0,0
395,156,61,7930,"Inside","1Story",6,8,1969,2005,"TA","TA","CBlock","TA","TA","GLQ",439,115,1026,"GasA","Gd","Y",1026,0,1026,1,0,1,0,3,"Gd",5,0,"Detchd",2,440,"TA","TA",171,48,0,0
1631,154.204,160,18160,"Inside","1Story",6,6,1964,1964,"TA","TA","CBlock","TA","TA","BLQ",550,752,1302,"GasA","Fa","Y",1128,0,1128,1,0,1,0,3,"TA",6,1,"Attchd",2,480,"TA","TA",0,108,246,0
200,138.4,52,6240,"Inside","1.5Fin",5,5,1930,1950,"TA","TA","BrkTil","TA","TA","LwQ",448,480,928,"GasA","TA","Y",928,608,1536,0,0,2,0,4,"TA",7,1,"Detchd",2,480,"TA","TA",0,10,0,0
195,134,50,6000,"Inside","1.5Fin",6,7,1939,1950,"TA","TA","BrkTil","TA","Gd","BLQ",452,144,608,"GasA","TA","Y",608,524,1132,1,0,1,0,2,"TA",5,0,"Detchd",1,240,"TA","TA",0,0,128,0
89,127,0,6897,"Corner","1Story",5,8,1962,2010,"TA","Gd","CBlock","TA","TA","ALQ",659,381,1040,"GasA","Ex","Y",1040,0,1040,1,0,1,1,3,"TA",6,0,"Detchd",1,260,"TA","TA",0,104,0,0
3,172,81,14267,"Corner","1Story",6,6,1958,1958,"TA","TA","CBlock","TA","TA","ALQ",923,406,1329,"GasA","TA","Y",1329,0,1329,0,0,1,1,3,"Gd",6,0,"Attchd",1,312,"TA","TA",393,36,0,0
2852,149,69,4899,"Corner","2Story",6,8,1920,1950,"TA","TA","PConc","TA","TA","BLQ",305,450,755,"GasA","Ex","Y",755,755,1510,0,0,1,0,3,"TA",6,0,"Detchd",1,216,"TA","TA",0,0,164,0
1780,215,76,10612,"Inside","1Story",8,5,2006,2006,"Gd","TA","PConc","Gd","TA","GLQ",28,1496,1524,"GasA","Gd","Y",1534,0,1534,0,0,2,0,3,"Gd",7,1,"Attchd",2,484,"TA","TA",168,46,0,0
2805,233.23,120,15611,"Inside","2Story",8,5,2006,2006,"Gd","TA","PConc","Gd","TA","Unf",0,1079,1079,"GasA","Ex","Y",1079,840,1919,0,0,2,1,3,"Gd",8,1,"Attchd",2,685,"Gd","TA",0,51,0,0
614,122,68,9768,"Inside","1Story",5,5,1955,1955,"TA","TA","CBlock","TA","TA","Rec",100,613,960,"GasA","Gd","Y",960,0,960,1,0,1,0,2,"TA",5,0,"Attchd",1,330,"TA","TA",0,70,0,0
2090,228.5,104,23920,"Inside","1.5Fin",6,5,1984,1984,"TA","TA","CBlock","TA","TA","Unf",0,1105,1105,"GasA","Ex","Y",1105,717,1822,0,0,2,0,4,"Gd",7,1,"Attchd",2,515,"TA","TA",0,195,1012,0
1539,311.5,0,15660,"Corner","1.5Fin",7,9,1939,2006,"Gd","Gd","CBlock","TA","TA","BLQ",341,457,798,"GasA","Ex","Y",1137,817,1954,0,1,1,1,3,"Gd",8,2,"Attchd",2,431,"TA","TA",0,119,150,0
523,238.5,75,7500,"Inside","1Story",8,5,2006,2007,"Gd","TA","PConc","Gd","TA","GLQ",24,1348,1372,"GasA","Ex","Y",1448,0,1448,0,0,2,0,2,"Gd",6,1,"Attchd",2,692,"TA","TA",0,140,0,0
263,127,68,7480,"Inside","1Story",5,6,1972,1972,"TA","TA","CBlock","TA","TA","ALQ",480,396,876,"GasA","TA","Y",876,0,876,1,0,1,0,3,"TA",5,0,"Detchd",2,484,"TA","TA",0,0,0,0
544,220,43,11492,"CulDSac","2Story",7,5,1996,1997,"Gd","TA","PConc","Gd","TA","GLQ",637,276,913,"GasA","Ex","Y",913,1209,2122,1,0,2,1,4,"Gd",8,1,"Attchd",2,559,"TA","TA",0,74,0,0
243,114,0,11200,"CulDSac","1Story",5,3,1964,1964,"TA","Fa","CBlock","TA","TA","Unf",0,1250,1250,"GasA","Ex","Y",1298,0,1298,0,0,2,0,3,"TA",5,0,"Detchd",2,504,"TA","Fa",0,144,0,0
1342,79,99,5940,"FR3","1Story",4,7,1946,1950,"TA","TA","PConc","0","0","0",0,0,0,"GasA","TA","Y",896,0,896,0,0,1,0,2,"TA",4,0,"Detchd",1,280,"TA","TA",0,0,0,0
1328,138,55,7111,"Inside","1Story",5,7,1928,1983,"Gd","Gd","BrkTil","TA","TA","LwQ",406,329,1008,"GasA","TA","Y",1143,0,1143,0,0,1,0,2,"TA",5,1,"Detchd",1,288,"TA","TA",265,0,0,0
901,103.5,70,11767,"Inside","1Story",5,5,1956,1956,"TA","TA","CBlock","TA","TA","Rec",546,604,1150,"GasA","Ex","Y",1560,0,1560,0,0,1,0,2,"TA",7,1,"Attchd",1,313,"TA","TA",0,0,0,0
1410,235,120,13728,"Corner","2Story",6,7,1935,1986,"TA","TA","CBlock","TA","TA","Rec",626,501,1127,"GasA","Ex","Y",1236,872,2108,0,0,2,0,4,"Gd",7,2,"Basment",2,540,"TA","TA",0,0,0,90
69,215.2,72,8640,"Inside","2Story",7,5,2009,2009,"TA","TA","PConc","Gd","TA","GLQ",24,732,756,"GasA","Ex","Y",764,783,1547,0,0,2,1,3,"Gd",7,0,"Attchd",2,614,"TA","TA",169,45,0,0
1708,342,99,13069,"Inside","2Story",8,5,2004,2004,"Gd","TA","PConc","Gd","TA","Unf",0,1706,1706,"GasA","Ex","Y",1718,1238,2956,0,0,2,1,5,"Ex",11,1,"BuiltIn",3,916,"TA","TA",194,50,0,0
1133,188,68,10110,"Inside","2Story",6,5,2003,2003,"Gd","TA","PConc","Gd","TA","GLQ",80,200,835,"GasA","Ex","Y",835,861,1696,1,0,2,1,3,"Gd",7,0,"Attchd",2,542,"TA","TA",143,66,0,0
1574,294,74,11563,"Inside","1Story",8,5,2006,2007,"Gd","TA","PConc","Ex","TA","GLQ",1036,482,1518,"GasA","Ex","Y",1537,0,1537,1,0,2,0,3,"Gd",8,0,"Attchd",3,788,"TA","TA",0,26,0,0
1860,181.5,80,9600,"FR2","1Story",6,8,1976,1976,"TA","TA","CBlock","Gd","TA","ALQ",978,284,1262,"GasA","Ex","Y",1262,0,1262,0,1,2,0,3,"TA",6,1,"Attchd",2,460,"TA","TA",298,0,0,0
297,335,100,17500,"Inside","1Story",7,8,1959,2002,"Gd","Gd","PConc","Gd","TA","GLQ",1406,496,1902,"GasA","TA","Y",1902,0,1902,1,0,2,0,3,"Ex",7,2,"Attchd",2,567,"TA","TA",0,207,162,0
1097,225,41,12460,"FR2","2Story",7,5,1999,2000,"Gd","TA","PConc","Gd","TA","GLQ",870,167,1037,"GasA","Ex","Y",1037,1285,2322,0,0,2,1,4,"TA",8,1,"BuiltIn",2,400,"TA","TA",144,44,0,0
2904,81.5,125,31250,"Inside","1Story",1,3,1951,1951,"TA","Fa","CBlock","None","None","None",0,0,0,"GasA","TA","Y",1600,0,1600,0,0,1,1,3,"TA",6,0,"Attchd",1,270,"Fa","TA",0,0,135,0
1636,377.426,86,14157,"Corner","1Story",9,5,2005,2006,"Gd","TA","PConc","Ex","TA","GLQ",1249,673,1922,"GasA","Ex","Y",1922,0,1922,1,0,2,0,3,"Gd",8,1,"Attchd",3,676,"TA","TA",178,51,0,0
1212,145,75,8250,"Inside","1Story",6,7,1964,1964,"TA","TA","CBlock","Gd","TA","Rec",787,305,1092,"GasA","Ex","Y",1092,0,1092,1,0,1,0,3,"TA",6,0,"Attchd",2,504,"TA","Gd",0,0,0,0
1195,135,65,8125,"Inside","1Story",5,7,1965,2005,"Gd","TA","CBlock","TA","TA","ALQ",260,196,912,"GasA","Ex","Y",925,0,925,1,0,1,0,3,"TA",5,0,"Detchd",2,576,"TA","TA",233,0,0,0
2705,157,50,5500,"Inside","1Story",7,5,2004,2004,"TA","TA","PConc","Gd","Gd","GLQ",510,190,1073,"GasA","Ex","Y",1073,0,1073,1,0,2,0,2,"TA",4,0,"Detchd",1,246,"TA","TA",0,120,0,0
2344,229,0,13837,"Corner","1.5Fin",7,5,1988,1988,"Gd","Gd","PConc","Gd","Gd","GLQ",1002,0,1204,"GasA","Gd","Y",1377,806,2183,0,0,2,1,4,"Gd",9,0,"Attchd",3,786,"TA","TA",0,0,0,0
1523,161.9,64,7804,"Inside","2.5Unf",6,7,1930,1950,"TA","TA","BrkTil","TA","TA","ALQ",281,0,960,"GasA","Ex","Y",960,960,1920,2,0,2,2,4,"TA",10,2,"Detchd",2,480,"TA","TA",248,0,121,0
855,134.9,76,6950,"Inside","1Story",5,7,1979,1979,"TA","TA","CBlock","TA","TA","ALQ",710,132,914,"GasA","TA","Y",914,0,914,1,0,1,0,2,"TA",5,0,"Attchd",2,444,"TA","TA",0,0,0,0
6,195.5,78,9978,"Inside","2Story",6,6,1998,1998,"TA","TA","PConc","TA","TA","GLQ",602,324,926,"GasA","Ex","Y",926,678,1604,0,0,2,1,3,"Gd",7,1,"Attchd",2,470,"TA","TA",360,36,0,0
695,103.5,57,10307,"Inside","2Story",6,5,1910,1950,"TA","TA","CBlock","TA","TA","LwQ",633,339,972,"GasA","Gd","N",972,972,1944,1,0,2,0,4,"TA",12,0,"Detchd",2,324,"Fa","TA",0,28,169,0
402,130,60,9000,"FR2","1Story",4,7,1971,2006,"TA","Gd","CBlock","TA","TA","ALQ",240,624,864,"GasA","Gd","Y",864,0,864,0,0,1,0,3,"TA",5,0,"Detchd",2,576,"TA","TA",200,0,0,0
2697,84.5,60,6780,"Inside","1.5Fin",6,8,1935,1982,"TA","Fa","CBlock","TA","TA","GLQ",490,30,520,"GasA","Gd","N",520,0,754,1,0,1,0,2,"TA",5,0,"None",0,0,"None","None",53,0,0,0
2818,149.9,134,17755,"Inside","1Story",5,4,1959,1959,"TA","TA","CBlock","TA","TA","BLQ",176,1290,1466,"GasA","TA","Y",1466,0,1466,0,0,1,1,3,"Fa",6,2,"Attchd",2,528,"TA","TA",0,140,0,100
669,163,77,11500,"Inside","1Story",6,4,1967,1967,"Fa","TA","CBlock","TA","Fa","BLQ",872,108,1040,"GasA","Gd","Y",1040,0,1040,1,0,1,0,3,"TA",6,1,"Attchd",2,480,"TA","TA",0,0,156,0
2147,270,0,11354,"Inside","1Story",7,5,2000,2000,"Gd","TA","PConc","TA","TA","GLQ",1412,261,1673,"GasA","Ex","Y",1673,0,1673,1,0,2,0,3,"Gd",7,1,"Attchd",2,583,"TA","TA",306,113,0,116
2520,188,36,3640,"CulDSac","1Story",8,5,1980,1980,"Gd","TA","CBlock","Gd","TA","GLQ",860,176,1036,"GasA","TA","Y",1036,0,1036,1,0,1,0,1,"Gd",4,1,"Detchd",2,484,"TA","TA",133,108,0,0
1602,113,100,21750,"Inside","1Story",5,5,1954,1954,"TA","TA","CBlock","TA","TA","Unf",0,988,988,"GasA","Ex","Y",988,0,988,0,0,1,0,2,"TA",4,0,"Attchd",2,520,"TA","TA",0,0,0,0
